HOUR,SW,SD,LWIN,SD,LWOUT,SD,LW,SD,SHF,SD,LHF,SD,TEMP,SD,RH,SD,WS,SD,Vapour Pressure air,SD,Vapour Pressure surface,SD,Atmospheric Pressure,SD,Ts
1,0.11786,0.41763,302.49,25.345,313.45,2.5414,-10.964,24.084,76.588,49.704,11.416,25.592,5.2245,2.0047,72.978,10.368,5.5184,2.4584,647.53,105.98,590.87,23.895,94336,887.38,-0.47498
2,0.12626,0.39541,302.61,26.07,313.35,2.6289,-10.748,24.654,72.486,45.311,9.7977,22.481,5.1646,2.0384,72.964,9.6769,5.3735,2.3206,645.42,105.44,589.96,24.681,94332,895.16,-0.49697
3,0.049363,0.18317,301.37,25.925,313.43,2.8192,-12.058,24.351,74.736,50.3,9.9594,28.692,5.2129,2.1759,72.645,9.8819,5.4732,2.5085,645.66,113.94,590.72,26.574,94322,894.53,-0.48083
4,0.07156,0.32119,300.13,25.778,313.41,2.8879,-13.272,24.314,76.177,59.003,10.267,32.394,5.2285,2.2661,72.702,10.629,5.5657,2.9724,646.61,118.12,590.51,27.185,94299,891.63,-0.48617
5,0.11104,0.37294,297.95,27.702,313.14,2.8192,-15.199,26.327,74.862,56.727,10.206,26.036,5.0203,2.1503,73.479,9.916,5.5943,2.8631,643.63,107.32,588.06,26.46,94279,893.37,-0.54282
6,0.074275,0.29713,297.57,26.34,312.97,2.7716,-15.401,25.051,71.701,52.378,9.7152,21.383,4.9067,2.0954,73.68,9.5919,5.5132,2.7301,639.8,102.48,586.41,25.881,94267,884.57,-0.58083
7,0.10479,0.39832,296.46,25.355,312.83,2.8122,-16.373,24.006,74.319,53.484,9.0325,20.059,4.8334,2.0163,73.373,9.153,5.6045,2.7217,634.17,98.061,585.12,26.157,94275,881.11,-0.61146
8,3.6371,7.8414,296.1,25.707,312.78,2.9586,-16.684,24.314,75.934,56.837,11.379,22.35,4.7957,2.1049,73.854,9.1544,5.7043,2.7758,636.75,99.835,584.75,27.514,94288,872.52,-0.62148
9,25.69,40.314,297.26,26.431,312.9,2.944,-15.634,25.09,75.553,61.267,11.437,25.721,4.7473,2.12,74.142,8.6301,5.726,2.9407,637.72,101.67,585.79,27.467,94299,869.29,-0.59682
10,75.976,83.745,297.42,28.288,313.26,3.0099,-15.84,26.859,72.254,53.946,11.186,35.341,4.7655,2.1913,74.216,9.5666,5.5946,2.764,639.45,113.3,589.17,28.179,94318,855.52,-0.51849
11,154.16,136.43,298.1,29.756,313.9,2.8415,-15.798,28.52,73.519,57.483,5.2733,25.801,4.8849,2.1806,73.043,9.7369,5.7196,2.9948,633.38,106.24,595.15,26.971,94324,850.53,-0.3784
12,223.57,174.2,300.06,29.145,314.63,3.0566,-14.577,27.897,72.399,52.886,2.9696,21.561,5.1149,2.2821,71.862,9.024,5.7175,2.7936,633.63,104.12,602.13,29.359,94333,851.28,-0.2198
13,272.73,182.78,300.07,28.512,315.04,2.8675,-14.971,27.563,71.119,48.945,4.1815,20.665,5.1842,2.1927,71.912,8.9408,5.6261,2.6476,636.78,101.45,605.98,27.585,94341,846.43,-0.13051
14,329.39,193.4,299.62,28.381,315.51,2.5832,-15.889,27.52,72.393,51.785,4.8573,27.374,5.3031,2.1174,71.452,9.5367,5.6754,2.7213,638.28,108.01,610.32,24.818,94337,847.17,-0.029871
15,343.98,198.7,301.19,27.509,315.78,2.6548,-14.588,26.727,75.84,48.254,4.5173,23.063,5.4387,2.0511,70.643,8.8068,5.8166,2.5844,637.22,102.32,612.98,25.582,94334,839.61,0.029633
16,317.26,185.05,304.07,27.471,315.92,2.8559,-11.848,26.923,77.921,45.757,4.3806,20.562,5.622,2.1525,69.911,8.234,5.9131,2.5769,639.36,103.37,614.35,27.658,94330,837.92,0.058799
17,281.18,163.89,304.62,26.569,315.84,2.6972,-11.219,25.991,79.139,51.041,7.0934,23.351,5.7456,2.1643,69.59,9.0157,5.8318,2.6248,641.37,105.05,613.54,26.045,94322,844.7,0.041808
18,231.58,138.45,304.83,27.415,315.56,2.6018,-10.729,26.812,80.454,51.298,7.924,23.48,5.7685,2.0696,69.913,9.4211,5.7673,2.4839,644.69,104.19,610.82,24.929,94316,853.65,-0.018564
19,176.37,111.05,304.42,26.312,315.22,2.6019,-10.793,25.52,82.269,50.889,8.4672,20.469,5.8125,2.0654,69.786,8.9036,5.7442,2.4823,645.32,99.77,607.55,24.801,94310,867.19,-0.092712
20,114.94,79.903,303.82,25.845,314.82,2.6446,-10.996,25.084,81.375,58.131,9.7683,22.801,5.7587,2.1275,70.431,8.876,5.7118,2.8554,648.93,101.4,603.79,25.141,94303,869.41,-0.17856
21,60.709,58.894,303.27,24.836,314.35,2.6912,-11.074,23.962,81.106,60.148,12.431,29.545,5.6061,2.1412,71.385,8.5746,5.7651,3.0468,651.16,99.505,599.29,25.459,94305,874.63,-0.28176
22,23.293,31.482,302.28,25.249,313.89,2.6275,-11.616,24.221,78.269,56.65,11.687,26.256,5.4687,2.1093,72.03,9.1995,5.5977,2.7398,650.67,102.36,595.02,24.636,94312,873.8,-0.37947
23,4.8362,9.1797,300.55,25.271,313.67,2.4832,-13.121,24.335,83.134,54.839,10.918,24.005,5.3598,1.9614,71.912,9.2196,5.8412,2.7386,645.11,103.32,592.92,23.38,94313,882.45,-0.42708
24,0.21716,0.70392,300.66,25.273,313.54,2.6231,-12.883,24.106,78.911,47.687,10.731,25.969,5.2794,2.0513,72.307,9.9532,5.6404,2.5193,645.07,110.48,591.7,24.723,94333,888.95,-0.45641
